school name,school county,alat,alon,grades,schoolScore
BLANTON ELEMENTARY,TRAVIS COUNTY,30.3062,-97.688762,C-,33.33
PATTON ELEMENTARY,TRAVIS COUNTY,30.218188,-97.847412,B,66.67
MENCHACA ELEMENTARY,TRAVIS COUNTY,30.116045,-97.824145,C-,33.33
BLACKSHEAR ELEMENTARY,TRAVIS COUNTY,30.265903,-97.724789,B+,75.0
MILLS ELEMENTARY,TRAVIS COUNTY,30.212351,-97.884862,A,96.67
MATHEWS ELEMENTARY,TRAVIS COUNTY,30.289638,-97.75683199999999,B+,75.0
CLAYTON ELEMENTARY,TRAVIS COUNTY,30.189297999999997,-97.902664,A,96.67
CAMPBELL ELEMENTARY,TRAVIS COUNTY,30.287634000000004,-97.70835600000001,D,16.67
DEER CREEK ELEMENTARY,WILLIAMSON COUNTY,30.489902,-97.894918,0,0.0
BLAKE MANOR ELEMENTARY,TRAVIS COUNTY,30.300601,-97.48969699999999,D-,8.33
SUMMITT ELEMENTARY,TRAVIS COUNTY,30.41375,-97.725341,B-,58.33
SPRINGHILL ELEMENTARY,TRAVIS COUNTY,30.442214,-97.656582,C,41.67
PECAN SPRINGS ELEMENTARY,TRAVIS COUNTY,30.303378000000002,-97.682159,D+,25.0
SHADOWGLEN ELEMENTARY,TRAVIS COUNTY,30.399403000000003,-97.51568499999999,D+,25.0
