house #,street,zipcode,lat,lon,neighborhood
701,Bastrop Highway,78742,30.235289,-97.683964,NA
1810,Niles Road,78703,30.287853,-97.76092,Enfield
8930,Galewood Drive,78758,30.3666185,-97.7160493617021,North Austin Civic Association
4906,Canella Drive,78744,30.172803,-97.7560309147727,Silverstone
6111,East Riverside Drive,78741,30.2259750816327,-97.7060946734694,Montopolis
3801,Ranch Creek Drive,78730,30.35589,-97.845884,NA
4104,Speedway,78751,30.3046375,-97.73129400625,Hyde Park
6101,Blarwood Drive,78745,30.2164635,-97.8112621181193,Sunburst
2744,Tom Miller Street,78722,30.2901955,-97.7003372211207,Mueller
3161,Eva Street,78617,30.204343,-97.638712,Hornsby Glen
3208,Duke Road,78724,30.3245335,-97.66353,Walnut Bend
NA,Guadalupe Street,78752,30.32539765,-97.7227068809902,Skyview
718,Yarsa Boulevard,78748,30.1759485,-97.8031779541667,Buckingham Estates
4409,Avenue C,78751,30.309081,-97.7302762777778,Hyde Park
12207,Waters Park Road,78759,30.414427,-97.710004,Tomanet Estates
5714,Terra Vista Drive,78735,30.249654,-97.869912,NA
NA,Sorghum Hill Drive,78753,30.3680502,-97.658674280614,Pioneer Crossing West
5300,Crainway Drive,78724,30.317466,-97.656097,Northridge Park
11103,Platt Lane,78725,30.23087,-97.633266,Garden Valley Village
5800,Zachary Scott Street,78747,30.1387135,-97.768829457619,NA
5108,Shaw Lane,78744,30.18329,-97.70841,Martinshore
5608,West US Highway 290,78735,30.237435,-97.844851,NA
7301,Cayenne Lane,78742,30.2211485,-97.6940595033973,Montopolis
1118,Desirable Drive,78721,30.2638755,-97.6858650631203,Johnston Terrace
NA,Colorado Street,78701,30.27408775,-97.7427713174964,Downtown
8213,Old Manor Road,78724,30.322183,-97.650071,Northridge Park
6372,Capital of Texas Highway,78731,30.3607344012829,-97.7914516998599,North Cat Mountain
5909,Burleson Road,78744,30.206115,-97.721607,McKinney
1120,Elder Circle,78733,30.32445,-97.8477745167464,NA
1100,Fallwell Lane,78617,30.212412,-97.614464,Hornsby Glen
6414,Cottonmouth School Road,78744,30.167895,-97.704192,NA
1210,Bob Harrison Street,78702,30.274397,-97.7272726111111,Swede Hill
5301,East Oltorf Street,78741,30.220098,-97.720896,East Riverside - Oltorf
7900,Loyola Lane,78724,30.295516,-97.635143,Park Place
1940,Webberville Road,78721,30.283905,-97.6731911323529,MLK-183
3201,Lookout Lane,78746,30.32807,-97.8049851802326,NA
2204,Canonero Drive,78746,30.322175,-97.812863,Windsong Estates
9139,Nuckols Crossing Road,78747,30.157335,-97.768711,Perkins Valley
2121,Callingwood Drive,78754,30.373337,-97.6492462244543,Pioneer Crossing West
9383,New Airport Drive,78719,30.2121864594595,-97.6632606756757,NA
6523,Twin Creek Hollow,78750,30.373124,-97.7928775818182,North Cat Mountain
4604,Island Cove,78731,30.33226,-97.77916,Balcones Park
4702,Trail West Drive,78735,30.246491,-97.8300638896026,NA
12030,Samsung Boulevard,78754,30.362026,-97.6398824724082,Pioneer Crossing East
