Zillow ID,address,zipcode,alat,alon,valuation,sqft,value sqft,neighborhood,tractCode,countyFips,stateFips,commuteTime
29510413,10105 Rocking Horse Road,78748,30.179149,-97.845897,355306.0,1910.0,186.02,Palomino Park,1748,453,48,27.2
214443332,330 Watersedge Terrace Drive,78621,30.207539,-97.47977,132458.0,1612.0,82.17,,950100,21,48,38.7
80110185,9517 Castle Pines Drive,78717,30.494378,-97.760304,348533.0,2455.0,141.97,Avery Ranch,20510,491,48,29.9
29479413,7603 Callbram Lane,78736,30.233941,-97.891758,461357.0,2997.0,153.94,West Oak Hill,1769,453,48,27.9
29433650,1812 Mearns Meadow Boulevard,78758,30.38282,-97.710188,322034.0,2161.0,149.02,North Austin Civic Association,1821,453,48,21.7
29509204,9105 Chisholm Lane,78748,30.177658,-97.809603,281393.0,1315.0,213.99,Westwood Heights,2423,453,48,34.0
29507484,10304 Wolftrap Drive,78749,30.182888,-97.857569,402425.0,2826.0,142.4,Brodie Springs,1740,453,48,24.1
29340055,12445 Fairfax Ridge Place,78738,30.313604,-97.931221,479021.0,2805.0,170.77,,1784,453,48,25.3
63228290,14099 Ashton Woods Circle,78727,30.440601,-97.706142,269511.0,1446.0,186.38,Bratton Park,1846,453,48,23.8
80097888,12601 Maidenhair Lane,78738,30.295452,-97.946057,1614518.0,6700.0,240.97,,1768,453,48,33.1
58305575,4807 Misty Brook Cove,78727,30.416599,-97.734563,423934.0,2221.0,190.88,Angus Valley,1745,453,48,27.6
29381327,13108 Fawnvalley Drive,78613,30.514758,-97.88064,298037.0,1844.0,161.63,,1766,453,48,35.9
29477173,4016 Clawson Road,78704,30.231135,-97.783301,488078.0,864.0,564.91,South Lamar,2005,453,48,26.7
70334530,19625 Cheyenne Valley Drive,78664,30.489016,-97.605895,302253.0,3289.0,91.9,,1855,453,48,24.2
58312962,4703 South Forest Drive,78745,30.222107,-97.787182,308987.0,996.0,310.23,South Manchaca,2002,453,48,27.2
29407462,6802 Syracuse Cove,78723,30.313644,-97.668377,303610.0,1036.0,293.06,University Hills,2113,453,48,31.3
58303385,11800 Dessau Road,78753,30.384114,-97.670574,281818.0,1306.0,215.79,Pioneer Crossing West,1832,453,48,24.0
83829536,19218 Lockwood Road,78653,30.309408,-97.514248,389924.0,3121.0,124.94,Lockwood Farms,2209,453,48,31.0
29513482,11516 Gun Fight Lane,78748,30.160392,-97.854178,363055.0,2351.0,154.43,Shady Hollow,1774,453,48,31.1
29514927,12303 Buffalo Grove Cove,78739,30.155723,-97.871613,548195.0,3800.0,144.26,Shady Hollow,1775,453,48,28.1
29386640,1138 Marks Circle,78721,30.26912,-97.690814,327343.0,1078.0,303.66,Johnston Terrace,2111,453,48,23.1
29517136,506 Bear Canyon Drive,78652,30.125975,-97.829378,319963.0,1820.0,175.8,,2407,453,48,32.1
214456467,411 Old 71,78612,30.165083000000006,-97.494578,1550130.0,2211.0,701.1,,950300,21,48,33.7
144344860,3511 Caldwell Lane,78617,30.196841,-97.545384,837573.0,512.0,1635.88,,2433,453,48,33.5
144987612,1051 Dalton Lane,78742,30.22743,-97.671227,202801.0,1232.0,164.61,,2310,453,48,26.5
64555733,16712 French Harbour Court,78734,30.422856,-97.937729,1082391.0,4735.0,228.59,,1741,453,48,24.9
29397081,9212 Tristam Drive,78621,30.283358000000003,-97.470402,170890.0,924.0,184.95,Estates at Wilbarger Creek,2210,453,48,37.2
29483623,5627 Wagon Train Road,78749,30.222471,-97.861467,328221.0,1413.0,232.29,Legend Oaks,1738,453,48,24.9
28584379,107 Four Aces Road,78640,29.994435,-97.817311,219944.0,1906.0,115.4,,10906,209,48,33.9
58297949,16001 Flint Rock Road,78738,30.332457,-97.982891,711267.0,4.0,177816.75,Vistas at Lakeway,1773,453,48,30.8
70332680,3000 Fleet Drive,78748,30.167657,-97.841474,356339.0,2531.0,140.79,Bauerle Ranch,1748,453,48,27.2
70355663,18941 Colonial Manor Lane,78660,30.463773,-97.582359,372343.0,3469.0,107.33,,1858,453,48,28.5
110539553,12629 Ballerstedt Road,78621,30.342125,-97.46214,419660.0,2745.0,152.88,,2209,453,48,31.0
70331835,8400 Big View Drive,78730,30.351706,-97.86869,2750069.0,6085.0,451.94,Austin Lake Hills,1760,453,48,33.2
29465450,6905 East Riverside Drive,78741,30.221994,-97.697508,424886.0,980.0,433.56,Montopolis,2312,453,48,26.6
111967951,17115 Axell Lane,78653,30.412427,-97.487085,1596209.0,7658.0,208.44,,1854,453,48,40.5
28595625,18 Carriage House Lane,78737,30.205857,-97.993837,542859.0,3069.0,176.88,,10809,209,48,33.6
29396151,921 East 37th Street,78705,30.293917,-97.722423,515384.0,1541.0,334.45,Hancock,401,453,48,16.6
29471294,9609 Cliffbrook Drive,78747,30.102453000000004,-97.715634,190611.0,1564.0,121.87,,2432,453,48,33.1
29328405,4703 Wild Briar Pass,78746,30.277218,-97.822718,758750.0,2960.0,256.33,,1917,453,48,23.6
64776463,16103 Flint Rock Road,78738,30.331093,-97.984181,890474.0,3743.0,237.9,Vistas at Lakeway,1773,453,48,30.8
2093455393,325 Highland Estates Drive,78664,30.502291,-97.611439,222120.0,1106.0,200.83,Lake Forest,20804,491,48,28.2
29381115,17705 Cross Street,78645,30.500655,-97.905968,177924.0,479.0,371.45,,1780,453,48,39.3
29491913,6655 Ruxton Lane,78749,30.211595000000006,-97.884089,370624.0,1780.0,208.22,,1737,453,48,27.5
29374619,10204 Lockerbie Court,78750,30.434277,-97.813068,620974.0,3661.0,169.62,,1714,453,48,27.6
29339722,11533 Emerald Falls Drive,78738,30.312342,-97.915063,438901.0,2705.0,162.26,,1784,453,48,25.3
29369997,11403 Charred Oak Drive,78759,30.42414,-97.770521,387434.0,1833.0,211.37,,1756,453,48,21.1
111969572,9998 Paulines Way,78717,30.499245,-97.75848,519832.0,3056.0,170.1,Avery Ranch,20510,491,48,29.9
70332507,9700 Peakridge Drive,78737,30.225636,-97.930387,570575.0,3224.0,176.98,Estates of Lewis Mountain,1733,453,48,25.8
125747248,15205 Nightingale Lane,78734,30.365201000000006,-97.947601,667332.0,3297.0,202.41,Bella Montagna,1742,453,48,30.1
29555508,9507 Braes Valley Street,78729,30.46751,-97.777781,220069.0,1302.0,169.02,Springwoods,20409,491,48,24.8
58317238,1812 True Cove,78748,30.162735,-97.830184,273147.0,1430.0,191.01,Saddlewood Estates,1748,453,48,27.2
29388905,4708 Santa Anna Street,78721,30.275142,-97.687216,282377.0,624.0,452.53,MLK,2110,453,48,23.1
29457121,17819 Madden Drive,78660,30.472371000000006,-97.635489,241783.0,2102.0,115.03,Spring Trails,1855,453,48,24.2
29336774,2114 Cliffs Edge Drive,78733,30.301989000000006,-97.889661,740979.0,3517.0,210.68,,1916,453,48,26.2
70327763,7803 Lenape Trail,78736,30.248169,-97.927411,693750.0,3600.0,192.71,,1768,453,48,33.1
58311960,8745 Linden Road,78617,30.126537,-97.595949,282172.0,2369.0,119.11,Jacobson Estates,2435,453,48,26.7
29347203,66 The Hills Drive,78738,30.345993,-97.984056,583885.0,4333.0,134.75,,1773,453,48,30.8
2129932290,11527 Doyle Overton Road,78617,30.073727,-97.641486,278981.0,1100.0,253.62,,950802,21,48,36.9
29426461,8304 Hathaway Drive,78757,30.362823,-97.727361,313316.0,950.0,329.81,Wooten,1818,453,48,22.1
29365384,7219 Villa Maria Lane,78759,30.409537,-97.778461,650933.0,3474.0,187.37,,1755,453,48,25.2
64520669,15207 Bowling Lane,78734,30.367713,-97.946765,389675.0,2476.0,157.38,Bella Montagna,1742,453,48,30.1
29439392,11724 Running Fox Trail,78759,30.41307,-97.734227,350333.0,1568.0,223.43,Angus Valley,1754,453,48,22.2
70335326,1817 Marcus Abrams Boulevard,78748,30.154854,-97.835661,276021.0,1487.0,185.62,Canterbury Trails,1774,453,48,31.1
144964754,16301 Decker Lake Road,78724,30.257982,-97.564298,716925.0,1613.0,444.47,Decker Lake Estates,2207,453,48,36.5
29341625,345 Commons Ford Road,78733,30.324023,-97.875768,684138.0,2815.0,243.03,Austin Lake Hills,1783,453,48,27.1
29495739,4303 Mauai Cove,78749,30.204762,-97.849337,291371.0,1388.0,209.92,Maple Run,1777,453,48,27.4
96632784,10709 Jones Road,78653,30.302388,-97.486288,150981.0,1300.0,116.14,Lockwood Farms,2209,453,48,31.0
70354705,11913 Timber Heights Drive,78754,30.375024,-97.647878,235383.0,1601.0,147.02,Pioneer Crossing West,1834,453,48,23.6
64785219,19406 Blake Manor Road,78653,30.281806,-97.509946,234559.0,1680.0,139.62,,2210,453,48,37.2
29396613,2800 Lovell Drive,78723,30.292588,-97.688935,363093.0,2020.0,179.75,MLK,2107,453,48,23.8
29364174,8332 Jancy Drive,78750,30.39459,-97.803899,639209.0,3561.0,179.5,Angel Pass,1716,453,48,24.7
29339526,10409 Peonia Court,78733,30.308927,-97.89547,1060113.0,5279.0,200.82,,1784,453,48,25.3
